territori,any,locals,xifra_negoci,sous_salaris,inversio,personal_ocupat,vab_estimat,vab_estimat_nominal,vab_eurostat,pes_cnae47_pib
Cataluña,2020,86114.0,39877483000.0,4253159000.0,684769000.0,297110.0,7535673350.835411,9433146309.186954,10305787915.276966,0.05261730216297488
Cataluña,2021,92069.0,43183447000.0,4512659000.0,740873000.0,294192.0,8359627514.848855,10668651292.402842,11638204454.39223,0.054841469819778534
Cataluña,2022,93567.0,50209103000.0,4910959000.0,749402000.0,297240.0,8442771197.088576,11209361573.181671,12028836526.20389,0.051049205185895175
Cataluña,2023,89153.0,51463386000.0,5192712000.0,843729000.0,299409.0,8455507181.646887,12240889449.534863,13235958687.53926,0.05127072735841535
Cataluña,2024,86901.0,56909165000.0,5693006000.0,1103490000.0,308553.0,9591190345.475002,,,
Comunitat Valenciana,2018,60166.0,25246167000.0,2535112000.0,716098000.0,188607.0,4879138541.74071,6376822840.639473,6129947785.84345,0.06013118898759452
Comunitat Valenciana,2019,59818.0,25857485000.0,2718481000.0,801353000.0,191737.0,5057635896.03192,6444125618.513193,6192371961.831859,0.05861213404478806
Comunitat Valenciana,2020,57996.0,24076910000.0,2567140000.0,712198000.0,189179.0,4549829011.461496,5695470165.534932,5632060063.423119,0.05824844956963748
Comunitat Valenciana,2021,64061.0,26352874000.0,2745162000.0,650830000.0,189781.0,5101496658.794862,6510587801.354283,6401780593.550952,0.060863320877737284
Comunitat Valenciana,2022,61490.0,29645367000.0,2994557000.0,710285000.0,191127.0,4984933720.778087,6618434065.087122,6457058648.606053,0.055584085109988295
Comunitat Valenciana,2023,57136.0,31801349000.0,3277155000.0,704446000.0,191058.0,5225006665.040638,7564150509.938775,7255570083.848328,0.05700761495775112
Comunitat Valenciana,2024,58596.0,33673536000.0,3523525000.0,1560810000.0,198485.0,5675171888.064162,,,
Extremadura,2018,14153.0,4508353000.0,345775000.0,70949000.0,33727.0,871295784.5074999,1138745869.1874094,947694146.575433,0.050603062076859946
Extremadura,2019,14104.0,4490157000.0,367625000.0,65394000.0,34052.0,878259398.4689153,1119023592.3890643,937461926.3616405,0.04887629110919227
Extremadura,2020,13706.0,4386257000.0,340333000.0,53788000.0,32793.0,828873777.8363614,1037583140.1067976,888587944.6230824,0.04999453938251925
Extremadura,2021,14217.0,4812992000.0,361204000.0,87283000.0,32950.0,931718590.0409344,1189069814.6705272,1007960239.7448173,0.051751043006649726
Extremadura,2022,15094.0,5234856000.0,402244000.0,51964000.0,33800.0,880252560.1324986,1168700298.9784446,994159881.4089309,0.04648865473036853
Extremadura,2023,13795.0,5250996000.0,413706000.0,52537000.0,32627.0,862746077.1586051,1248982364.5873158,1073834600.1453955,0.046772040478655144
Extremadura,2024,12821.0,5663012000.0,437463000.0,46432000.0,32368.0,954416147.5697119,,,
Galicia,2018,33360.0,13586468000.0,1245487000.0,239725000.0,99864.0,2625755413.284196,3431748647.864735,3291346609.0082,0.05810511149336479
Galicia,2019,33154.0,13797626000.0,1302795000.0,218191000.0,100825.0,2698768597.8595104,3438603374.661678,3295403163.00682,0.056379576546344845
Galicia,2020,32072.0,13859293000.0,1263241000.0,248893000.0,98554.0,2618999421.8421397,3278460142.8051662,3167561220.035712,0.05888678191649694
Galicia,2021,35165.0,15168206000.0,1340426000.0,220717000.0,97215.0,2936323082.9742584,3747368767.142015,3585090548.6927195,0.06161082103913811
Galicia,2022,34621.0,17001066000.0,1452379000.0,248825000.0,98683.0,2858766673.1389704,3795548706.0488896,3581297257.251782,0.054905387782177885
Galicia,2023,35332.0,17539483000.0,1505096000.0,258017000.0,99210.0,2881761889.294915,4171876145.207314,3959121580.8581476,0.05608329339852547
Galicia,2024,32193.0,17611766000.0,1642281000.0,257788000.0,99193.0,2968200289.460668,,,
Madrid (Comunidad de),2018,63226.0,38316373000.0,3870211000.0,821141000.0,256879.0,7405119845.87653,9678171047.385593,10691570278.857517,0.05059108241377009
Madrid (Comunidad de),2019,62823.0,40802590000.0,4182180000.0,766900000.0,263231.0,7980847473.568025,10168700301.699497,10998767668.12224,0.04976653562177467
Madrid (Comunidad de),2020,60716.0,39421175000.0,3891464000.0,769347000.0,254014.0,7449444537.563194,9325205190.48464,10228216849.144955,0.05075559549791808
Madrid (Comunidad de),2021,63162.0,42551918000.0,4194905000.0,861246000.0,250296.0,8237373559.419476,10512629410.174685,11498973542.201015,0.053052001333343556
Madrid (Comunidad de),2022,61970.0,46892335000.0,4302040000.0,906228000.0,248976.0,7885049356.532591,10468881270.907429,11498770697.072372,0.0472683406260657
Madrid (Comunidad de),2023,61235.0,50957461000.0,4695067000.0,1039449000.0,251424.0,8372382987.858419,12120552012.065125,13096179506.665407,0.0485583402391525
Madrid (Comunidad de),2024,62747.0,53642094000.0,5145549000.0,855591000.0,264332.0,9040574292.099745,,,
Murcia (Región de),2018,16762.0,6701412000.0,599241000.0,118576000.0,50462.0,1295131953.032066,1692681392.234134,1636516385.8217454,0.05707019531731776
Murcia (Región de),2019,16896.0,6775614000.0,631300000.0,137125000.0,51129.0,1325286994.6190214,1688598398.4349852,1649252484.7546184,0.05515064571401021
Murcia (Región de),2020,17033.0,6873227000.0,615867000.0,125328000.0,50439.0,1298838082.0861342,1625883857.9971087,1633204852.6458206,0.05885592567158046
Murcia (Región de),2021,17394.0,7377378000.0,661497000.0,147517000.0,49119.0,1428142874.1953049,1822612107.2327619,1810420265.0422904,0.05961448147580051
Murcia (Región de),2022,17965.0,8870129000.0,725922000.0,141836000.0,51616.0,1491531717.578386,1980287980.0852919,1867679512.308952,0.05487316518860604
Murcia (Región de),2023,18907.0,9579077000.0,783884000.0,109960000.0,51580.0,1573855913.1544225,2278443602.3230586,2119041795.075265,0.05836551668783643
Murcia (Región de),2024,17047.0,9834592000.0,842047000.0,184067000.0,52702.0,1657473692.367226,,,
Navarra (Comunidad Foral de),2018,7107.0,3464476000.0,299617000.0,58536000.0,22166.0,669553456.5122575,875077380.5642369,861272155.8612682,0.047073055276215026
Navarra (Comunidad Foral de),2019,7046.0,3611378000.0,307312000.0,49539000.0,21838.0,706373222.567468,900016899.8622619,881227787.5199852,0.04615352883823652
Navarra (Comunidad Foral de),2020,6939.0,3618136000.0,276889000.0,95067000.0,20919.0,683721463.43585,855881657.6897907,829578029.4937155,0.047494562798779144
Navarra (Comunidad Foral de),2021,6567.0,3808780000.0,312494000.0,58177000.0,20441.0,737319141.8926336,940975037.7147543,926344469.3927333,0.049229387911544055
Navarra (Comunidad Foral de),2022,6078.0,4336154000.0,351480000.0,59161000.0,18873.0,729133840.4778994,968061867.6457534,935973658.8537121,0.044299734897138045
Navarra (Comunidad Foral de),2023,5983.0,4385496000.0,362665000.0,44874000.0,18683.0,720543201.7839576,1043117755.9396759,1025245919.6473776,0.04504397520527998
Navarra (Comunidad Foral de),2024,6227.0,4300834000.0,404820000.0,36048000.0,19752.0,724841377.277116,,,
País Vasco,2018,24068.0,11770846000.0,1097469000.0,229966000.0,79688.0,2274863680.791404,2973148344.715052,3033340309.0799522,0.04665076918349478
País Vasco,2019,22865.0,11622329000.0,1124850000.0,183811000.0,77143.0,2273287922.0810833,2896482316.655654,3011788062.304149,0.04491371638398486
País Vasco,2020,23149.0,11347288000.0,1090432000.0,220996000.0,76790.0,2144304237.7036297,2684237315.491587,2814957722.4071465,0.046315100799085636
País Vasco,2021,21266.0,11645916000.0,1130711000.0,228065000.0,71343.0,2254463841.8794713,2877172282.8104696,3083498506.0866237,0.047052822576921505
País Vasco,2022,19237.0,12495520000.0,1262423000.0,216093000.0,62627.0,2101149194.9705665,2789669469.397273,3011005704.8237066,0.041223895641498004
País Vasco,2023,20138.0,12591059000.0,1243870000.0,173969000.0,62920.0,2068728820.1176596,2994862430.3805227,3309646523.3802204,0.04186415998851738
País Vasco,2024,18563.0,14032781000.0,1350155000.0,187029000.0,64699.0,2365015786.9539127,,,
Rioja (La),2018,3599.0,1540930000.0,126437000.0,24163000.0,10051.0,297804056.8742381,389217009.4504478,369948207.0848378,0.04730311567676424
Rioja (La),2019,3725.0,1580870000.0,136722000.0,19828000.0,10321.0,309212781.48126096,393979726.4327506,374558325.4932941,0.046494907520363234
Rioja (La),2020,4042.0,1723641000.0,132261000.0,49582000.0,10911.0,325717537.1401274,407732798.41943157,373194822.06154054,0.050004665835236974
Rioja (La),2021,3142.0,1594548000.0,120687000.0,47895000.0,9082.0,308679094.89826536,393939756.1523601,386415216.4551265,0.04894429594111799
Rioja (La),2022,2405.0,1778528000.0,155241000.0,19654000.0,9203.0,299063398.3565799,397062728.2472593,385259430.8416087,0.043319214127352415
Rioja (La),2023,2673.0,1734927000.0,154746000.0,18875000.0,9211.0,285050962.4091405,412663278.8991608,413685047.7377356,0.0433286949325208
Rioja (La),2024,2609.0,1861844000.0,155967000.0,13489000.0,9234.0,313786016.6737741,,,
espanya,2018,544028.0,239601768000.0,23155054000.0,4979701000.0,1733179.0,46306048000.0,60520000000.0,60520000000.0,0.055126179014341734
espanya,2019,540883.0,245011346000.0,24444400000.0,4770022000.0,1750589.0,47923383827.3404,61061000000.0,61061000000.0,0.053657923597148605
espanya,2020,527096.0,234184105000.0,22805567000.0,4860610000.0,1701672.0,44253919417.07409,55397000000.0,55397000000.0,0.053733205039167224
espanya,2021,552988.0,254672877000.0,24438780000.0,5012889000.0,1679865.0,49300612567.007866,62918000000.0,62918000000.0,0.056247346001010196
espanya,2022,551089.0,286862152000.0,26402594000.0,5332867000.0,1698387.0,48236502341.82525,64043000000.0,64043000000.0,0.051041870066110634
espanya,2023,535917.0,301778875000.0,28111108000.0,5213112000.0,1694027.0,49582696420.9432,71780000000.0,71780000000.0,0.05251871043079537
espanya,2024,524869.0,320629353000.0,30699397000.0,6228387000.0,1747719.0,54037291795.961105,,,
